,tweet_source,tweet_text,tweet_date,tweet_vader_score,tweet_pos_score,tweet_neu_score,tweet_neg_score
0,Fox News,"Before you hit your local vintner, it's important to know what you're getting when it comes to high-end bubbles.  https://t.co/KWEsxHnC7W",Sat Dec 31 20:01:00 +0000 2016,0.2023,0.087,0.913,0.0
1,Fox News,.@martinamcbride wishes all of you a Happy New Year! #FoxNews2017 https://t.co/tawRwRZ6AQ,Sat Dec 31 19:58:23 +0000 2016,0.68,0.411,0.589,0.0
2,Fox News,RT @GregGutfeldShow: Make us part of your NYE celebration! We'll be looking back at “The Year of Trump” on a special #Gutfeld Show today at…,Sat Dec 31 19:48:53 +0000 2016,0.4574,0.115,0.885,0.0
3,Fox News,First of 2 Florida bald eaglets hatches. WATCH: https://t.co/jYE7CUF06A https://t.co/XZKsIcYVAG,Sat Dec 31 19:46:47 +0000 2016,0.0,0.0,1.0,0.0
4,Fox News,.@meghanmccain is excited to see what politics has in store for next year! What are you looking forward to?… https://t.co/mYl9ucS8sx,Sat Dec 31 19:45:07 +0000 2016,0.4003,0.124,0.876,0.0
5,Fox News,"A look at the new year in Kuala Lumpur, Malaysia! #FoxNews2017 https://t.co/s8sFYfgqGZ",Sat Dec 31 19:34:43 +0000 2016,0.0,0.0,1.0,0.0
6,Fox News,.@GregGutfeld can’t wait for the NEW year! Are you ready? #FoxNews2017 https://t.co/ChsqJVMxDT,Sat Dec 31 19:27:54 +0000 2016,0.4199,0.202,0.798,0.0
7,Fox News,"'The Year of Trump': Tonight at 5p ET, @GregGutfeldShow takes a look back at the debates, tweets and memorable mome… https://t.co/btSknitAig",Sat Dec 31 19:26:21 +0000 2016,0.0,0.0,1.0,0.0
8,Fox News,It's a nautical mystery... https://t.co/XEigNyRpHL,Sat Dec 31 19:13:32 +0000 2016,0.0,0.0,1.0,0.0
9,Fox News,"""The only thing deplorable was @HillaryClinton's basket of grossly generalistic comments."" - @ToddStarnes https://t.co/nOlQdajpjV",Sat Dec 31 19:09:13 +0000 2016,-0.2263,0.0,0.863,0.137
10,Fox News,Here’s a New Year’s resolution to try out. https://t.co/KzNK3p5P9R,Sat Dec 31 19:05:06 +0000 2016,0.0,0.0,1.0,0.0
11,Fox News,.@RondaRousey's UFC comeback didn't even last a minute. https://t.co/kyrJQx8S0T,Sat Dec 31 19:00:02 +0000 2016,0.0,0.0,1.0,0.0
12,Fox News,@RondaRousey's UFC comeback didn't even last a minute. https://t.co/kyrJQx8S0T,Sat Dec 31 18:59:44 +0000 2016,0.0,0.0,1.0,0.0
13,Fox News,Read their letter to @POTUS: https://t.co/VrzUiN4IT7,Sat Dec 31 18:48:02 +0000 2016,0.0,0.0,1.0,0.0
14,Fox News,.@TheSlyStallone will attend President-elect @realDonaldTrump's New Years' Eve party. https://t.co/VT5FvIMun8,Sat Dec 31 18:45:58 +0000 2016,0.4019,0.231,0.769,0.0
15,Fox News,HS football team places orange roses at the feet of cheerleader battling leukemia. More feel-good stories of 2016:… https://t.co/zlV0HhEgEO,Sat Dec 31 18:33:17 +0000 2016,-0.0516,0.09,0.81,0.1
16,Fox News,RT @BryanLlenas: Live from Times Square on @foxnews - the countdown to the ball drop! Here's a view from my Snapchat @Spectacles https://t.…,Sat Dec 31 18:29:32 +0000 2016,-0.3382,0.0,0.893,0.107
17,Fox News,“It has been the privilege of my life to serve as your president…Have a happy and blessed 2017.” - @POTUS  https://t.co/wkDxhYWt0C,Sat Dec 31 18:28:54 +0000 2016,0.8779,0.387,0.613,0.0
